Home team,Away team,Home score,Away score,Home odds,Draw odds,Away odds
Crusaders,Jaguares,19,3,1.15,29.04,5.85
Crusaders,Hurricanes,30,26,1.16,28.08,5.34
Jaguares,Brumbies,39,7,1.4,22.63,3.1
Brumbies,Sharks,38,13,1.35,22.95,3.25
Hurricanes,Bulls,35,28,1.16,28.96,5.22
Jaguares,Chiefs,21,16,1.54,21.41,2.53
Crusaders,Highlanders,38,14,1.1,31.63,6.65
Bulls,Lions,48,27,1.55,22.8,2.49
Stormers,Sharks,9,12,1.71,21.09,2.19
Brumbies,Reds,40,27,1.27,24.94,3.81
Hurricanes,Blues,29,24,2.03,20.65,1.81
Jaguares,Sunwolves,52,10,1.03,48.8,10.41
Rebels,Chiefs,8,59,2.14,21.48,1.74
Highlanders,Waratahs,49,12,1.1,36.7,6.79
Jaguares,Sharks,34,7,1.4,23.26,2.99
Stormers,Sunwolves,31,18,1.05,43.36,9.21
Lions,Hurricanes,17,37,2.24,20.92,1.69
Waratahs,Brumbies,24,35,1.72,21.3,2.17
Crusaders,Rebels,66,0,1.04,44.9,9.28
Reds,Blues,29,28,2.08,21.45,1.78
Highlanders,Bulls,24,24,1.26,25.6,3.9
Lions,Stormers,41,22,1.6,22.31,2.4
Sharks,Hurricanes,17,30,2.28,21.66,1.66
Reds,Jaguares,23,34,2.24,22.1,1.67
Chiefs,Crusaders,40,27,5.28,29.71,1.16
Sunwolves,Brumbies,19,42,5.46,30.58,1.15
Rebels,Waratahs,15,20,1.46,21.27,2.8
Blues,Bulls,22,22,1.27,23.11,3.93
Sharks,Lions,27,17,1.46,22.08,2.74
Stormers,Highlanders,34,22,1.64,20.71,2.33
Waratahs,Jaguares,15,23,1.63,21.19,2.33
Crusaders,Blues,19,11,1.13,30.36,6.02
Sunwolves,Rebels,7,52,2.87,23.53,1.43
Brumbies,Bulls,22,10,1.4,22.43,3.02
Chiefs,Reds,19,13,1.21,27.1,4.45
Stormers,Crusaders,19,19,4.63,28.93,1.19
Lions,Highlanders,38,29,1.85,20.63,2
Reds,Waratahs,32,40,2.04,20.8,1.82
Blues,Chiefs,23,8,1.47,22.34,2.76
Rebels,Bulls,17,32,1.46,22.67,2.77
Hurricanes,Jaguares,20,28,1.2,28.28,4.69
Brumbies,Sunwolves,33,0,1.1,34.98,6.98
Lions,Waratahs,29,28,1.31,24.51,3.5
Chiefs,Sharks,29,23,1.51,22.41,2.64
Highlanders,Jaguares,32,27,1.17,31.56,5.04
Bulls,Crusaders,13,45,4.34,25.16,1.22
Rebels,Reds,30,24,1.29,24.11,3.73
Blues,Hurricanes,12,22,2.89,22.99,1.43
Jaguares,Stormers,30,25,1.49,21.39,2.69
Bulls,Waratahs,28,21,1.28,25.23,3.65
Brumbies,Blues,26,21,1.8,19.87,2.06
Highlanders,Chiefs,31,31,1.23,26.59,4.16
Hurricanes,Rebels,29,19,1.23,26.55,4.28
Reds,Sunwolves,32,26,1.23,24.92,4.21
Crusaders,Sharks,21,21,1.05,41.78,8.85
Jaguares,Brumbies,20,15,1.44,22.96,2.86
Stormers,Bulls,24,23,1.63,20.56,2.34
Waratahs,Sharks,15,23,1.51,23.41,2.63
Hurricanes,Chiefs,47,19,1.24,28.14,4.13
Sunwolves,Highlanders,0,52,3.52,25.49,1.31
Crusaders,Lions,36,10,1.06,40.69,8.66
Stormers,Brumbies,17,19,1.39,23.03,3.02
